EM_ID,Exercise_ID,Muscle_ID,Muscle_Role,Intensity_Value,Intensity_Source,Contraction_Type,Notes
36,EX0001,MU0046,Stabilizer,2,Specific,Isometric,Slight shoulder stabilization.
37,EX0001,MU0047,Stabilizer,2,Specific,Isometric,Minor involvement in grip.
38,EX0001,MU0039,Stabilizer,1,Group,Isometric,Minimal upper body stabilization; not significantly activated.
39,EX0001,MU0040,Stabilizer,1,Group,Isometric,Minimal upper body stabilization; not significantly activated.
40,EX0001,MU0041,Stabilizer,1,Group,Isometric,Minimal upper body stabilization; not significantly activated.
41,EX0001,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular involvement.
42,EX0001,MU0043,Stabilizer,1,Specific,Isometric,Minimal for scapular protraction.
43,EX0001,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
44,EX0001,MU0003,Stabilizer,1,Group,Isometric,Minimal lateral ankle support.
45,EX0001,MU0004,Stabilizer,1,Group,Isometric,Minimal lateral ankle support.
46,EX0001,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
47,EX0001,MU0035,Stabilizer,1,Specific,Isometric,Minimal rotator cuff stabilization.
48,EX0001,MU0033,Stabilizer,1,Specific,Isometric,Negligible rotator cuff support.
49,EX0001,MU0032,Stabilizer,1,Specific,Isometric,Minimal shoulder stabilization.
50,EX0001,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff involvement.
51,EX0002,MU0053,Stabilizer,5,Specific,Isometric,Maintains wrist stability during grip.
52,EX0002,MU0029,Primary,9,Specific,Isotonic,Drives shoulder extension/adduction; maximal for stomach-to-bar.
53,EX0002,MU0018,Stabilizer,8,Specific,Isometric,Braces and pulls torso up for stomach-to-bar; high demand.
54,EX0002,MU0048,Primary,8,Specific,Isotonic,Drives elbow flexion; high for explosive pull.
55,EX0002,MU0020,Stabilizer,7,Specific,Isometric,Braces torso and resists rotation; high due to stomach-to-bar.
56,EX0002,MU0021,Stabilizer,7,Specific,Isometric,Supports anti-rotation and core stability.
57,EX0002,MU0022,Stabilizer,7,Specific,Isometric,Intra-abdominal pressure for torso stability.
58,EX0002,MU0056,Primary,7,Specific,Isotonic,Drives elbow flexion; high in explosive pull.
59,EX0002,MU0049,Primary,7,Specific,Isotonic,Assists elbow flexion; strong in pull.
60,EX0002,MU0050,Primary,7,Specific,Isotonic,Supports biceps in elbow flexion; high demand.
61,EX0002,MU0052,Stabilizer,6,Specific,Isometric,Primary grip for holding bar; high for bodyweight.
62,EX0002,MU0030,Secondary,6,Specific,Isotonic,Retracts scapulae during pull; strong role.
63,EX0002,MU0026,Secondary,6,Group,Isotonic,Supports scapular elevation/retraction; high in explosive pull.
64,EX0002,MU0027,Secondary,6,Group,Isotonic,Supports scapular elevation/retraction; high in explosive pull.
65,EX0002,MU0028,Secondary,6,Group,Isotonic,Supports scapular elevation/retraction; high in explosive pull.
66,EX0002,MU0024,Stabilizer,5,Specific,Isometric,Maintains spinal extension; moderate for posture.
67,EX0002,MU0025,Stabilizer,5,Specific,Isometric,Stabilizes pelvis against swing; moderate demand.
68,EX0002,MU0038,Secondary,5,Specific,Isotonic,Assists shoulder extension; moderate in pull.
69,EX0002,MU0039,Secondary,4,Group,Isotonic,Assists shoulder adduction in pull; moderate due to explosive range.
70,EX0002,MU0040,Secondary,4,Group,Isotonic,Assists shoulder adduction in pull; moderate due to explosive range.
71,EX0002,MU0041,Secondary,4,Group,Isotonic,Assists shoulder adduction in pull; moderate due to explosive range.
72,EX0002,MU0043,Secondary,4,Specific,Isotonic,Supports scapular protraction during pull.
73,EX0002,MU0042,Stabilizer,2,Specific,Isometric,Minor scapular stabilization.
74,EX0002,MU0035,Stabilizer,2,Specific,Isometric,Minor rotator cuff stabilization.
75,EX0002,MU0033,Stabilizer,2,Specific,Isometric,Minimal rotator cuff support.
76,EX0002,MU0032,Stabilizer,2,Specific,Isometric,Minor shoulder stabilization.
77,EX0002,MU0034,Stabilizer,2,Specific,Isometric,Minimal rotator cuff involvement.
78,EX0002,MU0036,Stabilizer,2,Specific,Isometric,Minor shoulder support during pull.
79,EX0002,MU0037,Stabilizer,2,Specific,Isometric,Minimal abduction stabilization.
80,EX0002,MU0044,Stabilizer,1,Specific,Isometric,Negligible clavicle stabilization.
81,EX0002,MU0005,Stabilizer,1,Specific,Isometric,Minimal ankle stabilization in hang.
82,EX0002,MU0006,Stabilizer,1,Specific,Isometric,Negligible ankle support.
83,EX0002,MU0003,Stabilizer,1,Group,Isometric,Minimal lateral ankle stabilization.
84,EX0002,MU0004,Stabilizer,1,Group,Isometric,Minimal lateral ankle stabilization.
85,EX0002,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
86,EX0002,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
87,EX0002,MU0045,Stabilizer,1,Specific,Isometric,Minimal elbow stabilization.
88,EX0002,MU0046,Stabilizer,1,Specific,Isometric,Negligible shoulder support.
89,EX0002,MU0047,Stabilizer,1,Specific,Isometric,Minimal involvement.
90,EX0002,MU0017,Stabilizer,1,Specific,Isometric,Negligible hip stabilization in hang.
91,EX0002,MU0014,Stabilizer,1,Group,Isometric,Minimal hip support in hanging position.
92,EX0002,MU0015,Stabilizer,1,Group,Isometric,Minimal hip support in hanging position.
93,EX0002,MU0016,Stabilizer,1,Group,Isometric,Minimal hip support in hanging position.
94,EX0002,MU0011,Stabilizer,1,Group,Isometric,Negligible leg involvement.
95,EX0002,MU0012,Stabilizer,1,Group,Isometric,Negligible leg involvement.
96,EX0002,MU0013,Stabilizer,1,Group,Isometric,Negligible leg involvement.
97,EX0002,MU0007,Stabilizer,1,Group,Isometric,Minimal knee stabilization in hang.
98,EX0002,MU0008,Stabilizer,1,Group,Isometric,Minimal knee stabilization in hang.
99,EX0002,MU0009,Stabilizer,1,Group,Isometric,Minimal knee stabilization in hang.
100,EX0002,MU0010,Stabilizer,1,Group,Isometric,Minimal knee stabilization in hang.
101,EX0003,MU0053,Secondary,3,Specific,Isotonic,Assists toe extension; minor role. (folds Extensor Digitorum; kept max of extensor-compartment scores)
102,EX0003,MU0002,Primary,9,Specific,Isotonic,Drives dorsiflexion; primary focus of exercise.
103,EX0003,MU0020,Stabilizer,3,Specific,Isometric,Minor bracing for standing balance.
104,EX0003,MU0021,Stabilizer,3,Specific,Isometric,Minimal anti-rotation support due to balance.
105,EX0003,MU0018,Stabilizer,3,Specific,Isometric,Low demand for torso stability in standing.
106,EX0003,MU0022,Stabilizer,3,Specific,Isometric,Minor intra-abdominal pressure for posture.
107,EX0003,MU0024,Stabilizer,3,Specific,Isometric,Minor spinal support in standing position.
108,EX0003,MU0025,Stabilizer,3,Specific,Isometric,Minor pelvic stabilization for standing balance.
109,EX0003,MU0052,Stabilizer,2,Specific,Isometric,Low grip demand for band or light weight.
110,EX0003,MU0005,Stabilizer,2,Specific,Isometric,Slight antagonistic stabilization for ankle.
111,EX0003,MU0006,Stabilizer,2,Specific,Isometric,Minor ankle support against dorsiflexion.
112,EX0003,MU0003,Secondary,2,Group,Isometric,Prevents ankle rolling; minimal effort.
113,EX0003,MU0004,Secondary,2,Group,Isometric,Prevents ankle rolling; minimal effort.
114,EX0003,MU0001,Secondary,2,Specific,Isotonic,Assists ankle stability; slight inversion role.
115,EX0003,MU0017,Stabilizer,2,Specific,Isometric,Minor hip stabilization for standing posture.
116,EX0003,MU0014,Stabilizer,2,Group,Isometric,Minimal hip support in standing position.
117,EX0003,MU0015,Stabilizer,2,Group,Isometric,Minimal hip support in standing position.
118,EX0003,MU0016,Stabilizer,2,Group,Isometric,Minimal hip support in standing position.
119,EX0003,MU0011,Stabilizer,2,Group,Isometric,Negligible leg involvement.
120,EX0003,MU0012,Stabilizer,2,Group,Isometric,Negligible leg involvement.
121,EX0003,MU0013,Stabilizer,2,Group,Isometric,Negligible leg involvement.
122,EX0003,MU0007,Stabilizer,2,Group,Isometric,Stabilizes knees in standing position; minimal.
123,EX0003,MU0008,Stabilizer,2,Group,Isometric,Stabilizes knees in standing position; minimal.
124,EX0003,MU0009,Stabilizer,2,Group,Isometric,Stabilizes knees in standing position; minimal.
125,EX0003,MU0010,Stabilizer,2,Group,Isometric,Stabilizes knees in standing position; minimal.
126,EX0003,MU0039,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
127,EX0003,MU0040,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
128,EX0003,MU0041,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
129,EX0003,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular support.
130,EX0003,MU0043,Stabilizer,1,Specific,Isometric,Minimal scapular stabilization.
131,EX0003,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
132,EX0003,MU0056,Stabilizer,1,Specific,Isometric,Negligible arm stabilization.
133,EX0003,MU0035,Stabilizer,1,Specific,Isometric,Negligible rotator cuff involvement.
134,EX0003,MU0033,Stabilizer,1,Specific,Isometric,Minimal shoulder support.
135,EX0003,MU0032,Stabilizer,1,Specific,Isometric,Negligible shoulder stabilization.
136,EX0003,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff role.
137,EX0003,MU0036,Stabilizer,1,Specific,Isometric,Negligible shoulder support.
138,EX0003,MU0037,Stabilizer,1,Specific,Isometric,Minimal abduction stabilization.
139,EX0003,MU0038,Stabilizer,1,Specific,Isometric,Negligible shoulder involvement.
140,EX0003,MU0048,Stabilizer,1,Specific,Isometric,Minimal arm stabilization.
141,EX0003,MU0049,Stabilizer,1,Specific,Isometric,Negligible arm support.
142,EX0003,MU0050,Stabilizer,1,Specific,Isometric,Minimal elbow stabilization.
143,EX0003,MU0045,Stabilizer,1,Specific,Isometric,Negligible elbow support.
144,EX0003,MU0046,Stabilizer,1,Specific,Isometric,Minimal shoulder stabilization.
145,EX0003,MU0047,Stabilizer,1,Specific,Isometric,Negligible involvement.
146,EX0003,MU0029,Stabilizer,1,Specific,Isometric,Minimal upper back stabilization.
147,EX0003,MU0030,Stabilizer,1,Specific,Isometric,Negligible scapular support.
148,EX0003,MU0026,Stabilizer,1,Group,Isometric,Minimal upper back involvement.
149,EX0003,MU0027,Stabilizer,1,Group,Isometric,Minimal upper back involvement.
150,EX0003,MU0028,Stabilizer,1,Group,Isometric,Minimal upper back involvement.
151,EX0004,MU0053,Stabilizer,5,Specific,Isometric,Maintains wrist stability during grip.
152,EX0004,MU0029,Primary,9,Specific,Isotonic,Drives shoulder extension/adduction; primary pull.
153,EX0004,MU0022,Stabilizer,8,Specific,Isometric,Intra-abdominal pressure for spinal stability.
154,EX0004,MU0024,Stabilizer,8,Specific,Isometric,Prevents spinal rounding in hinge; high demand.
155,EX0004,MU0030,Primary,8,Specific,Isotonic,Retracts scapulae; nearly co-primary with lats.
156,EX0004,MU0026,Primary,8,Group,Isotonic,Supports scapular retraction/elevation; high demand.
157,EX0004,MU0027,Primary,8,Group,Isotonic,Supports scapular retraction/elevation; high demand.
158,EX0004,MU0028,Primary,8,Group,Isotonic,Supports scapular retraction/elevation; high demand.
159,EX0004,MU0020,Stabilizer,7,Specific,Isometric,Braces against rotation/extension in hinge.
160,EX0004,MU0021,Stabilizer,7,Specific,Isometric,Supports anti-rotation in bent-over posture.
161,EX0004,MU0018,Stabilizer,7,Specific,Isometric,Resists spinal flexion; high bracing demand.
162,EX0004,MU0048,Secondary,7,Specific,Isotonic,Drives elbow flexion during row.
163,EX0004,MU0056,Secondary,6,Specific,Isotonic,Assists elbow flexion during pull.
164,EX0004,MU0052,Stabilizer,6,Specific,Isometric,Primary grip strength for bar.
165,EX0004,MU0025,Stabilizer,6,Specific,Isometric,Stabilizes pelvis against lateral tilt.
166,EX0004,MU0049,Secondary,6,Specific,Isotonic,Assists elbow flexion; strong role.
167,EX0004,MU0050,Secondary,6,Specific,Isotonic,Supports biceps in elbow flexion.
168,EX0004,MU0014,Stabilizer,6,Group,Isometric,Maintains hip extension in hinge.
169,EX0004,MU0015,Stabilizer,6,Group,Isometric,Maintains hip extension in hinge.
170,EX0004,MU0016,Stabilizer,6,Group,Isometric,Maintains hip extension in hinge.
171,EX0004,MU0011,Stabilizer,6,Group,Isometric,Supports hip hinge stability.
172,EX0004,MU0012,Stabilizer,6,Group,Isometric,Supports hip hinge stability.
173,EX0004,MU0013,Stabilizer,6,Group,Isometric,Supports hip hinge stability.
174,EX0004,MU0038,Secondary,5,Specific,Isotonic,Assists shoulder extension in pull.
175,EX0004,MU0017,Stabilizer,5,Specific,Isometric,Stabilizes hips in hinge position.
176,EX0004,MU0043,Stabilizer,2,Specific,Isometric,Minor scapular protraction support.
177,EX0004,MU0005,Stabilizer,2,Specific,Isometric,Minor ankle stabilization in hinge.
178,EX0004,MU0006,Stabilizer,2,Specific,Isometric,Assists ankle stability.
179,EX0004,MU0035,Stabilizer,2,Specific,Isometric,Minor rotator cuff stabilization.
180,EX0004,MU0033,Stabilizer,2,Specific,Isometric,Minimal rotator cuff support.
181,EX0004,MU0032,Stabilizer,2,Specific,Isometric,Minor shoulder stabilization.
182,EX0004,MU0034,Stabilizer,2,Specific,Isometric,Minimal rotator cuff involvement.
183,EX0004,MU0036,Stabilizer,2,Specific,Isometric,Minor shoulder support during pull.
184,EX0004,MU0037,Stabilizer,2,Specific,Isometric,Minimal abduction stabilization.
185,EX0004,MU0007,Stabilizer,2,Group,Isometric,Stabilizes knees in bent-over posture.
186,EX0004,MU0008,Stabilizer,2,Group,Isometric,Stabilizes knees in bent-over posture.
187,EX0004,MU0009,Stabilizer,2,Group,Isometric,Stabilizes knees in bent-over posture.
188,EX0004,MU0010,Stabilizer,2,Group,Isometric,Stabilizes knees in bent-over posture.
189,EX0004,MU0039,Stabilizer,1,Group,Isometric,Minimal upper body stabilization.
190,EX0004,MU0040,Stabilizer,1,Group,Isometric,Minimal upper body stabilization.
191,EX0004,MU0041,Stabilizer,1,Group,Isometric,Minimal upper body stabilization.
192,EX0004,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular involvement.
193,EX0004,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
194,EX0004,MU0003,Stabilizer,1,Group,Isometric,Minimal lateral ankle support.
195,EX0004,MU0004,Stabilizer,1,Group,Isometric,Minimal lateral ankle support.
196,EX0004,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
197,EX0004,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
198,EX0004,MU0045,Stabilizer,1,Specific,Isometric,Negligible elbow stabilization.
199,EX0004,MU0046,Stabilizer,1,Specific,Isometric,Minimal shoulder support.
200,EX0004,MU0047,Stabilizer,1,Specific,Isometric,Negligible involvement.
201,EX0005,MU0053,Stabilizer,4,Specific,Isometric,Maintains wrist stability during curl.
202,EX0005,MU0048,Primary,9,Specific,Isotonic,Primary driver of elbow flexion; maximal activation.
203,EX0005,MU0049,Primary,8,Specific,Isotonic,Strong elbow flexion support.
204,EX0005,MU0050,Primary,8,Specific,Isotonic,Drives elbow flexion; high due to isolation.
205,EX0005,MU0056,Primary,6,Specific,Isotonic,Assists elbow flexion; strong in curl.
206,EX0005,MU0052,Stabilizer,5,Specific,Isometric,Primary grip strength for dumbbell.
207,EX0005,MU0020,Stabilizer,2,Specific,Isometric,Minor bracing for seated posture.
208,EX0005,MU0021,Stabilizer,2,Specific,Isometric,Minimal anti-rotation support.
209,EX0005,MU0018,Stabilizer,2,Specific,Isometric,Low demand for seated stability.
210,EX0005,MU0022,Stabilizer,2,Specific,Isometric,Minimal intra-abdominal pressure.
211,EX0005,MU0024,Stabilizer,2,Specific,Isometric,Minor spinal support in seated position.
212,EX0005,MU0025,Stabilizer,2,Specific,Isometric,Minimal pelvic stabilization in seated posture.
213,EX0005,MU0029,Stabilizer,2,Specific,Isometric,Minor upper back stabilization; preacher bench minimizes.
214,EX0005,MU0030,Stabilizer,2,Specific,Isometric,Negligible scapular support in seated position.
215,EX0005,MU0026,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
216,EX0005,MU0027,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
217,EX0005,MU0028,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
218,EX0005,MU0039,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
219,EX0005,MU0040,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
220,EX0005,MU0041,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
221,EX0005,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular support.
222,EX0005,MU0043,Stabilizer,1,Specific,Isometric,Minimal scapular stabilization.
223,EX0005,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
224,EX0005,MU0005,Stabilizer,1,Specific,Isometric,Negligible ankle stabilization.
225,EX0005,MU0006,Stabilizer,1,Specific,Isometric,Minimal ankle support.
226,EX0005,MU0003,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
227,EX0005,MU0004,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
228,EX0005,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
229,EX0005,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
230,EX0005,MU0035,Stabilizer,1,Specific,Isometric,Negligible rotator cuff involvement.
231,EX0005,MU0033,Stabilizer,1,Specific,Isometric,Minimal rotator cuff support.
232,EX0005,MU0032,Stabilizer,1,Specific,Isometric,Negligible shoulder stabilization.
233,EX0005,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff role.
234,EX0005,MU0036,Stabilizer,1,Specific,Isometric,Negligible shoulder support; preacher bench isolates.
235,EX0005,MU0037,Stabilizer,1,Specific,Isometric,Minimal abduction stabilization.
236,EX0005,MU0038,Stabilizer,1,Specific,Isometric,Negligible shoulder involvement.
237,EX0005,MU0045,Stabilizer,1,Specific,Isometric,Negligible elbow stabilization.
238,EX0005,MU0046,Stabilizer,1,Specific,Isometric,Minimal shoulder support.
239,EX0005,MU0047,Stabilizer,1,Specific,Isometric,Negligible involvement.
240,EX0005,MU0017,Stabilizer,1,Specific,Isometric,Negligible hip stabilization in seated posture.
241,EX0005,MU0014,Stabilizer,1,Group,Isometric,Minimal hip support in seated position.
242,EX0005,MU0015,Stabilizer,1,Group,Isometric,Minimal hip support in seated position.
243,EX0005,MU0016,Stabilizer,1,Group,Isometric,Minimal hip support in seated position.
244,EX0005,MU0011,Stabilizer,1,Group,Isometric,Negligible leg involvement.
245,EX0005,MU0012,Stabilizer,1,Group,Isometric,Negligible leg involvement.
246,EX0005,MU0013,Stabilizer,1,Group,Isometric,Negligible leg involvement.
247,EX0005,MU0007,Stabilizer,1,Group,Isometric,Minimal knee stabilization in seated posture.
248,EX0005,MU0008,Stabilizer,1,Group,Isometric,Minimal knee stabilization in seated posture.
249,EX0005,MU0009,Stabilizer,1,Group,Isometric,Minimal knee stabilization in seated posture.
250,EX0005,MU0010,Stabilizer,1,Group,Isometric,Minimal knee stabilization in seated posture.
251,EX0006,MU0053,Stabilizer,2,Specific,Isometric,Minor wrist stability during grip.
252,EX0006,MU0018,Primary,9,Specific,Isotonic,Drives spinal flexion; primary crunch mover.
253,EX0006,MU0020,Primary,8,Specific,Isotonic,Assists spinal flexion; high role in crunch.
254,EX0006,MU0021,Primary,8,Specific,Isotonic,Supports spinal flexion and slight rotation.
255,EX0006,MU0022,Primary,7,Specific,Isometric,Intra-abdominal pressure during crunch.
256,EX0006,MU0025,Stabilizer,4,Specific,Isometric,Stabilizes pelvis during crunch.
257,EX0006,MU0052,Stabilizer,3,Specific,Isometric,Grips rope; moderate due to cable tension.
258,EX0006,MU0024,Stabilizer,3,Specific,Isometric,Supports spinal stability; low demand.
259,EX0006,MU0056,Stabilizer,2,Specific,Isometric,Minor grip support for rope.
260,EX0006,MU0048,Stabilizer,2,Specific,Isometric,Minor elbow stabilization during grip.
261,EX0006,MU0049,Stabilizer,2,Specific,Isometric,Minimal elbow support.
262,EX0006,MU0050,Stabilizer,2,Specific,Isometric,Minimal elbow stabilization.
263,EX0006,MU0029,Stabilizer,2,Specific,Isometric,Minor upper back stabilization.
264,EX0006,MU0030,Stabilizer,2,Specific,Isometric,Negligible scapular support.
265,EX0006,MU0026,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
266,EX0006,MU0027,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
267,EX0006,MU0028,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
268,EX0006,MU0039,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
269,EX0006,MU0040,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
270,EX0006,MU0041,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
271,EX0006,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular support.
272,EX0006,MU0043,Stabilizer,1,Specific,Isometric,Minimal scapular stabilization.
273,EX0006,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
274,EX0006,MU0005,Stabilizer,1,Specific,Isometric,Negligible ankle stabilization in kneeling.
275,EX0006,MU0006,Stabilizer,1,Specific,Isometric,Minimal ankle support.
276,EX0006,MU0003,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
277,EX0006,MU0004,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
278,EX0006,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
279,EX0006,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
280,EX0006,MU0035,Stabilizer,1,Specific,Isometric,Negligible rotator cuff involvement.
281,EX0006,MU0033,Stabilizer,1,Specific,Isometric,Minimal rotator cuff support.
282,EX0006,MU0032,Stabilizer,1,Specific,Isometric,Negligible shoulder stabilization.
283,EX0006,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff role.
284,EX0006,MU0036,Stabilizer,1,Specific,Isometric,Negligible shoulder support.
285,EX0006,MU0037,Stabilizer,1,Specific,Isometric,Minimal abduction stabilization.
286,EX0006,MU0038,Stabilizer,1,Specific,Isometric,Negligible shoulder involvement.
287,EX0006,MU0045,Stabilizer,1,Specific,Isometric,Negligible elbow support.
288,EX0006,MU0046,Stabilizer,1,Specific,Isometric,Minimal shoulder stabilization.
289,EX0006,MU0047,Stabilizer,1,Specific,Isometric,Negligible involvement.
290,EX0006,MU0017,Stabilizer,1,Specific,Isometric,Negligible hip stabilization in kneeling.
291,EX0006,MU0014,Stabilizer,1,Group,Isometric,Minimal hip support in kneeling position.
292,EX0006,MU0015,Stabilizer,1,Group,Isometric,Minimal hip support in kneeling position.
293,EX0006,MU0016,Stabilizer,1,Group,Isometric,Minimal hip support in kneeling position.
294,EX0006,MU0011,Stabilizer,1,Group,Isometric,Negligible leg involvement.
295,EX0006,MU0012,Stabilizer,1,Group,Isometric,Negligible leg involvement.
296,EX0006,MU0013,Stabilizer,1,Group,Isometric,Negligible leg involvement.
297,EX0006,MU0007,Stabilizer,1,Group,Isometric,Minimal knee stabilization in kneeling.
298,EX0006,MU0008,Stabilizer,1,Group,Isometric,Minimal knee stabilization in kneeling.
299,EX0006,MU0009,Stabilizer,1,Group,Isometric,Minimal knee stabilization in kneeling.
300,EX0006,MU0010,Stabilizer,1,Group,Isometric,Minimal knee stabilization in kneeling.
301,EX0007,MU0053,Stabilizer,3,Specific,Isometric,Maintains wrist extension during push.
302,EX0007,MU0039,Primary,9,Group,Isotonic,Drives shoulder flexion/adduction; high upper chest focus in decline.
303,EX0007,MU0040,Primary,9,Group,Isotonic,Drives shoulder flexion/adduction; high upper chest focus in decline.
304,EX0007,MU0041,Primary,9,Group,Isotonic,Drives shoulder flexion/adduction; high upper chest focus in decline.
305,EX0007,MU0042,Secondary,4,Specific,Isotonic,Assists scapular depression; moderate role.
306,EX0007,MU0043,Secondary,5,Specific,Isotonic,Supports scapular protraction during push.
307,EX0007,MU0044,Stabilizer,1,Specific,Isometric,Negligible clavicle stabilization.
308,EX0007,MU0020,Stabilizer,6,Specific,Isometric,Resists rotation/sagging in plank; moderate due to decline.
309,EX0007,MU0021,Stabilizer,6,Specific,Isometric,Supports anti-rotation and stability in decline plank.
310,EX0007,MU0018,Stabilizer,7,Specific,Isometric,Braces to maintain plank; high anti-flexion in decline.
311,EX0007,MU0022,Stabilizer,7,Specific,Isometric,Intra-abdominal pressure for core stability.
312,EX0007,MU0056,Stabilizer,3,Specific,Isometric,Minor wrist/elbow stabilization on raised hands.
313,EX0007,MU0052,Stabilizer,3,Specific,Isometric,Grips platforms; moderate for stability.
